issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
175,NH.gov,https://nh.gov/almanac/state-animal,https://www.nh.gov/almanac/state-animal,403,false,true,5589,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/almanac/state-amphibian,https://www.nh.gov/almanac/state-amphibian,403,false,true,5586,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/glance/state-constitution/bill-rights,https://www.nh.gov/glance/state-constitution/bill-rights,403,false,true,5581,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/glance/state-constitution/clerk-courts,https://www.nh.gov/glance/state-constitution/clerk-courts,403,false,true,5567,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/glance/state-constitution/secretary-treasurer-etc,https://www.nh.gov/glance/state-constitution/secretary-treasurer-etc,403,false,true,5554,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/glance/state-constitution/executive-power-governor,https://www.nh.gov/glance/state-constitution/executive-power-governor,403,false,true,5513,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/glance/state-constitution/county-treasurer-etc,https://www.nh.gov/glance/state-constitution/county-treasurer-etc,403,false,true,5554,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/glance/state-constitution/oaths-and-subscriptions-exclusion-offices-etc,https://www.nh.gov/glance/state-constitution/oaths-and-subscriptions-exclusion-offices-etc,403,false,true,5598,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/glance/state-constitution/senate,https://www.nh.gov/glance/state-constitution/senate,403,false,true,5532,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/policies/accessibility-policy,https://www.nh.gov/policies/accessibility-policy,403,false,true,5579,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/online-services/residents,https://www.nh.gov/online-services/residents,403,false,true,5620,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/almanac/demographics-statistics,https://www.nh.gov/almanac/demographics-statistics,403,false,true,5545,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/policies/privacy-policy,https://www.nh.gov/policies/privacy-policy,403,false,true,5517,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/policies/language-translation-tool-information,https://www.nh.gov/policies/language-translation-tool-information,403,false,true,5513,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/glance/state-constitution,https://www.nh.gov/glance/state-constitution,403,false,true,5545,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/glance/traffic,https://www.nh.gov/glance/traffic,403,false,true,5545,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/glance/weather,https://www.nh.gov/glance/weather,403,false,true,5576,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/page-not-found,https://www.nh.gov/page-not-found,403,false,true,5539,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
