issue_number,scan_title,scan_browser,scan_color_scheme,scan_viewport_preset,scan_viewport_width,scan_viewport_height,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-of-sweden/ministry-of-employment/,https://government.se/government-of-sweden/ministry-of-employment/,403,false,false,34874,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-of-sweden/ministry-of-finance/,https://government.se/government-of-sweden/ministry-of-finance/,403,false,false,34701,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-of-sweden/ministry-of-health-and-social-affairs/,https://government.se/government-of-sweden/ministry-of-health-and-social-affairs/,403,false,false,34790,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-of-sweden/ministry-of-justice/,https://government.se/government-of-sweden/ministry-of-justice/,403,false,false,34673,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-policy/adult-education/,https://government.se/government-policy/adult-education/,403,false,false,34693,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-policy/care-for-older-people/,https://government.se/government-policy/care-for-older-people/,403,false,false,35244,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,161,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-policy/central-government-administration/,https://government.se/government-policy/central-government-administration/,403,false,false,35063,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-policy/childrens-rights/,https://government.se/government-policy/childrens-rights/,403,false,false,34611,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-policy/civil-defence/,https://government.se/government-policy/civil-defence/,403,false,false,34700,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-policy/civil-society-and-sport/,https://government.se/government-policy/civil-society-and-sport/,403,false,false,34717,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
66,Sweden's Government,chromium,both,desktop,1280,800,https://government.se/government-policy/combating-terrorism/,https://government.se/government-policy/combating-terrorism/,403,false,false,34802,false,0,0,0,0,,Skipped (not requested),true,136,2,0,118,meta-refresh,,true,178,7,7,0,3,0,element_attribute_deprecated;meta_refresh_delay;style_color_misuse;style_highcontrast_visible,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Just a moment...
